場,芝ダ,距離,条件1,条件2,条件3,種別,学習n,学習複勝率,学習基準,OOSn,OOS複勝率,OOS基準,学習単回収,OOS単回収
新潟,芝,1800,出走頭数が14頭以下,前走着順が3着以内,馬齢が3歳以下,買い,82,59.8,22.2,33,39.4,21.2,101,87
新潟,芝,1800,前走着順が3着以内,馬齢が3歳以下,馬齢が4歳以下,買い,176,50.0,22.2,60,41.7,21.2,89,96
中山,芝,1800,騎手が横山武史,,,買い,88,54.5,22.1,17,29.4,22.9,88,54
中山,芝,1800,前走の馬体重が460kg以上,前走中央場所,前走着順が3着以内,買い,216,45.4,22.1,58,41.4,22.9,85,107
中山,芝,1800,前走との間隔が中4週以内,前走の馬体重が460kg以上,前走着順が3着以内,買い,132,47.0,22.1,33,33.3,22.9,82,196
阪神,芝,1400,前走着順が3着以内,調教師の所属が栗東,馬齢が3歳以下,買い,198,41.9,21.2,43,30.2,20.8,83,79
阪神,芝,1400,前走の4コーナー通過順が4番手以内,前走中央場所,前走着順が3着以内,買い,135,43.7,21.2,25,40.0,20.8,77,120
阪神,芝,1400,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,278,39.6,21.2,60,36.7,20.8,70,102
阪神,芝,2000,前走着順が3着以内,性別が牡馬・セン,馬齢が4歳以下,買い,263,45.6,25.6,54,42.6,25.3,90,70
阪神,芝,2000,前走との間隔が中4週以内,前走着順が3着以内,,買い,264,42.4,25.6,44,45.5,25.3,116,62
阪神,芝,2000,前走着順が5着以内,,,買い,736,36.4,25.6,178,37.1,25.3,103,72
福島,芝,1800,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,134,49.3,20.9,38,55.3,20.8,122,139
福島,芝,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,107,50.5,20.9,30,56.7,20.8,99,122
福島,芝,1800,前走の4コーナー通過順が4番手以内,前走着順が3着以内,馬齢が3歳以下,買い,121,48.8,20.9,32,50.0,20.8,128,92
阪神,芝,1800,前走着順が3着以内,性別が牡馬・セン,枠番が6~8枠,買い,132,49.2,23.9,34,38.2,22.8,103,90
阪神,芝,1800,前走中央場所,前走着順が3着以内,馬齢が3歳以下,買い,163,47.9,23.9,63,44.4,22.8,69,125
阪神,芝,1800,出走頭数が14頭以下,前走着順が3着以内,馬齢が4歳以下,買い,236,45.8,23.9,62,40.3,22.8,70,86
小倉,ダート,1000,前走との間隔が中8週以上,前走着順が3着以内,性別が牡馬・セン,買い,108,50.9,22.7,29,58.6,22.7,38,28
小倉,ダート,1000,前走との間隔が中8週以上,前走着順が3着以内,調教師の所属が栗東,買い,202,46.5,22.7,38,63.2,22.7,66,42
小倉,ダート,1000,前走との間隔が中4週以内,前走着順が3着以内,性別が牡馬・セン,買い,102,51.0,22.7,26,57.7,22.7,36,32
中京,ダート,1900,前走着順が3着以内,性別が牡馬・セン,馬齢が3歳以下,買い,166,46.4,23.2,22,50.0,20.9,52,65
